Rank,name,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,Age (by 10/16),Position,Height w/ shoes,Wingspan,Reach,Hand width,Weight (lbs),Max Vertical,Lane (sec),Shuttle (sec),3/4 Sprint (sec),School,GP,MP,PTS,REB,AST,STL,BLK,TOV,PF,FGA,FG%,2PA,2P%,NCAA__3ptapg,NCAA__3ptpct,FTA,NCAA_ft,TS%,PTS/36,REB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
105,"Noi, Kouat",107,93.25,114,116,85,116,85,64,102,64,22,PF,"6'7""",,,,205,,,,,Sudan,19,25.1,10.3,6.2,1.1,0.6,0.3,1.7,2.1,8.9,0.412,5.1,0.464,3.8,0.342,2.3,0.698,0.520,14.8,8.9,1.6,0.9,0.4,2.4,3.0,12.8,7.3,5.5,3.3,https://www.basketball-reference.com/international/players/kouat-noi-1.html
106,"Sutton, Dwayne",108,93.38,114,116,86,116,85,64,102,64,23,SG,"6'5""",,,,220,,,,,Louisville,31,31.5,9.1,8.2,1.7,0.8,0.7,1.0,2.2,6.1,0.505,3.5,0.620,2.6,0.354,2.8,0.693,0.621,10.4,9.4,1.9,0.9,0.8,1.1,2.5,7.0,4.0,3.0,3.2,https://www.sports-reference.com/cbb/players/dwayne-sutton-1.html
107,"Moretti, Davide",109,93.50,114,87,116,116,85,64,102,64,22,PG,"6'2""",,,,185,,,,,Texas Tech,31,34.1,13.0,1.7,2.3,1.2,0.0,2.0,2.1,9.4,0.419,3.7,0.474,5.6,0.383,3.3,0.902,0.599,13.7,1.8,2.4,1.3,0.0,2.1,2.2,9.9,3.9,5.9,3.5,https://www.sports-reference.com/cbb/players/davide-moretti-1.html
108,"Homesley, Caleb",110,93.63,114,116,88,116,85,64,102,64,23,SG,"6'6""",,,,205,,,,,Liberty,30,30.8,15.3,5.7,2.4,1.1,0.8,1.5,1.8,12.1,0.474,7.4,0.541,4.7,0.369,3.6,0.598,0.559,17.9,6.7,2.8,1.3,0.9,1.8,2.1,14.1,8.6,5.5,4.2,https://www.sports-reference.com/cbb/players/caleb-homesley-1.html
109,"Montgomery, EJ",111,93.75,114,89,116,116,85,64,102,64,21,PF,"6'10""","7'1""",,,230,,,,,Kentucky,28,24.1,6.1,5.4,0.6,0.4,1.1,1.0,2.8,4.9,0.518,4.7,0.534,0.2,0.167,1.5,0.667,0.549,9.1,8.1,0.9,0.6,1.6,1.5,4.2,7.3,7.0,0.3,2.2,https://www.sports-reference.com/cbb/players/ej-montgomery-1.html
110,"Kennedy, Sha'markus",112,94.38,114,116,116,94,85,64,102,64,22,PF,"6'8""",,,,220,,,,,McNeese State,31,31.8,18.6,10.9,1.5,0.7,2.6,2.3,2.2,10.7,0.679,10.6,0.684,0.1,0.250,5.1,0.778,0.718,21.1,12.3,1.7,0.8,2.9,2.6,2.5,12.1,12.0,0.1,5.8,https://www.sports-reference.com/cbb/players/shamarkus-kennedy-1.html
111,"Johnson, Markell",113,94.63,114,116,116,96,85,64,102,64,22,PG,"6'1""",,,,175,,,,,North Carolina State,31,34.1,12.8,4.4,6.8,1.9,0.3,3.3,2.0,11.9,0.405,6.7,0.512,5.2,0.267,3.0,0.606,0.484,13.5,4.6,7.2,2.0,0.3,3.5,2.1,12.6,7.1,5.5,3.2,https://www.sports-reference.com/cbb/players/markell-johnson-1.html
112,"McLemore, Anfernee",114,94.88,114,116,116,116,67,64,102,64,22,PF,"6'7""",,,,200,,,,,Auburn,31,20.3,6.8,4.4,0.4,0.7,1.1,0.9,2.9,5.5,0.435,2.5,0.623,3.0,0.280,1.8,0.661,0.540,12.1,7.8,0.7,1.2,2.0,1.6,5.1,9.8,4.4,5.3,3.2,https://www.sports-reference.com/cbb/players/anfernee-mclemore-1.html
113,"Acquaah, Micah",115,94.88,114,116,116,98,85,64,102,64,22,SG,"6'3""",,,,195,,,,,California Baptist,31,32.6,18.1,4.9,5.8,0.9,0.2,3.8,2.1,15.5,0.376,9.3,0.415,6.3,0.318,5.3,0.836,0.508,20.0,5.4,6.4,1.0,0.2,4.2,2.3,17.1,10.3,7.0,5.9,https://www.sports-reference.com/cbb/players/milan-acquaah-1.html
114,"Diallo, Alpha",116,94.88,114,98,116,116,85,64,102,64,23,SG,"6'7""",,,,210,,,,,Providence,31,32.7,14.1,7.8,2.5,1.5,0.9,3.0,2.6,12.1,0.414,9.0,0.450,3.1,0.313,4.9,0.632,0.495,15.5,8.6,2.8,1.7,1.0,3.3,2.9,13.3,9.9,3.4,5.4,https://www.sports-reference.com/cbb/players/alpha-diallo-1.html
115,"McGriff, Cameron",117,97.13,114,116,116,116,85,64,102,64,23,SF,"6'7""",,,,230,,,,,Oklahoma State,32,30.1,12.3,6.6,1.3,0.4,0.3,1.9,2.6,9.1,0.450,3.6,0.515,2.8,0.308,3.9,0.832,0.569,14.7,7.9,1.6,0.5,0.4,2.3,3.1,10.9,4.3,3.3,4.7,https://www.sports-reference.com/cbb/players/cameron-mcgriff-1.html
116,"Varner, Lesley",118,97.13,114,116,116,116,85,64,102,64,23,SF,"6'7""",,,,190,,,,,Texas Rio Grand Valley,30,28.0,15.6,6.0,1.7,1.5,0.3,1.5,1.8,11.7,0.433,8.3,0.444,3.4,0.406,4.7,0.871,0.567,20.1,7.7,2.2,1.9,0.4,1.9,2.3,15.0,10.7,4.4,6.0,https://www.sports-reference.com/cbb/players/lesley-varnerjr-1.html
117,"Bowden, Jordan",119,97.13,114,116,116,116,85,64,102,64,23,SG,"6'5""",,,,185,,,,,Tennessee,31,34.4,13.7,4.0,2.7,1.0,0.3,1.6,2.3,11.7,0.383,6.2,0.469,5.5,0.287,3.8,0.822,0.512,14.3,4.2,2.8,1.0,0.3,1.7,2.4,12.2,6.5,5.8,4.0,https://www.sports-reference.com/cbb/players/jordan-bowden-1.html
118,"Harris, Kavon",120,97.13,114,116,116,116,85,64,102,64,23,PG,"6'6""",,,,216,,,,,Stephen F. Austin,31,29.3,17.5,5.7,2.1,1.5,0.3,3.5,2.5,11.5,0.468,6.9,0.505,4.6,0.413,6.2,0.771,0.615,21.5,7.0,2.6,1.8,0.4,4.3,3.1,14.1,8.5,5.7,7.6,https://www.sports-reference.com/cbb/players/kevon-harris-1.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*I was unable to find his stats at IMG Academy, so these are his stats for the previous season, playing AAU for the Oakland Soliders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**I was unable to find his full stats at Moravian Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"***I was unable to find his stats at Vanier College, so these are his stats for the previous season, playing AAU for the Brookwood Elite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"****I was unable to find his correct ""Minutes Played"" stat for the John A. Logan Volunteers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"If a player was unranked on a certain website, he was given the rank equivalent to the total number of players that were ranked on at least one website (that ranked as many players).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For example, if a player was unranked on Bleacher Report's top 50 prospects list, then he was given the rank of 64, which is the number of players that appeared in the top 50 of at least one wesbite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
