Rank,name,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,Age (by 10/16),Position,Height w/ shoes,Wingspan,Reach,Hand width,Weight (lbs),Max Vertical,Lane (sec),Shuttle (sec),3/4 Sprint (sec),School,GP,MP,PTS,REB,AST,STL,BLK,TOV,PF,FGA,FG%,2PA,2P%,NCAA__3ptapg,NCAA__3ptpct,FTA,NCAA_ft,TS%,PTS/36,REB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
70,"Mane, Karim***",72,72.50,59,45,83,78,85,64,102,64,20,SG,"6'6""","6'11""","8'6""","9.75""",196,"36.0""",11.52,2.64,3.04,Canada,3,26.0,6.3,4.3,1.7,0.7,0.3,1.7,2.7,6.3,0.421,3.3,0.601,3.0,0.222,0.3,1.000,0.490,8.7,6.0,2.4,1.0,0.4,2.4,3.7,8.7,4.6,4.2,0.4,https://basketball.realgm.com/player/Karim-Mane/Summary/134530
71,"Diakite, Mamadi",73,72.88,77,68,82,71,85,64,72,64,23,PF,"6'10""","7'4""","8'11""","10.25""",222,"37.0""",11.95,2.71,3.16,Virginia,30,32.8,13.7,6.8,0.6,0.8,1.3,2.1,2.0,10.5,0.478,8.6,0.502,1.8,0.364,4.1,0.754,0.557,15.0,7.5,0.7,0.9,1.4,2.3,2.2,11.5,9.4,2.0,4.5,https://www.sports-reference.com/cbb/players/mamadi-diakite-1.html
72,"Fitts, Malik",74,73.00,79,75,74,72,85,64,71,64,23,PF,"6'8""",,,,230,,,,,Saint Mary's,34,34.2,16.5,7.1,1.2,1.4,0.4,1.9,2.6,11.9,0.472,7.3,0.512,4.6,0.408,4.2,0.799,0.600,17.4,7.5,1.3,1.5,0.4,2.0,2.7,12.5,7.7,4.8,4.4,https://www.sports-reference.com/cbb/players/malik-fitts-1.html
73,"Stevens, Lamar",75,73.13,82,64,59,65,85,64,102,64,23,SF,"6'7""","6'9""","8'5""","9.75""",228,"41.0""",10.35,2.54,3.20,Penn State,31,31.1,17.6,6.9,2.2,1.1,1.2,2.5,2.6,14.6,0.423,11.6,0.465,3.1,0.465,6.2,0.719,0.508,20.4,8.0,2.5,1.3,1.4,2.9,3.0,16.9,13.4,3.6,7.2,https://www.sports-reference.com/cbb/players/lamar-stevens-1.html
74,"Elleby, CJ",76,73.25,86,59,84,76,85,64,68,64,20,SG,"6'6""","6'7""","8'4.5""","10.0""",199,"36.5""",11.25,2.63,3.25,Washington State,32,33.4,18.4,7.8,1.9,1.8,0.8,2.2,2.9,15.6,0.396,8.8,0.439,6.8,0.339,4.6,0.823,0.522,19.8,8.4,2.0,1.9,0.9,2.4,3.1,16.8,9.5,7.3,5.0,https://www.sports-reference.com/cbb/players/cj-elleby-1.html
75,"Queen, Trevelin",77,73.50,84,95,66,84,66,64,65,64,23,SG,"6'6""","6'7.5""",,,190,,,,,New Mexico State,26,27.5,13.2,5.2,2.4,1.7,0.3,1.8,2.3,10.5,0.471,5.2,0.556,5.3,0.387,1.7,0.814,0.587,17.3,6.8,3.1,2.2,0.4,2.4,3.0,13.7,6.8,6.9,2.2,https://www.sports-reference.com/cbb/players/trevelin-queen-1.html
76,"Childs, Yoeli",78,75.63,87,67,91,73,85,64,74,64,22,PF,"6'7""","6'11.5""","8'10""","10.0""",226,"38.5""",10.87,2.42,3.22,Brigham Young,19,28.8,22.2,9.0,2.0,0.7,0.9,2.4,2.6,16.1,0.574,13.7,0.588,2.4,0.489,4.9,0.538,0.608,27.8,11.3,2.5,0.9,1.1,3.0,3.3,20.1,17.1,3.0,6.1,https://www.sports-reference.com/cbb/players/yoeli-childs-1.html
77,"Diane, Lamine",79,75.88,68,88,75,61,85,64,102,64,22,SF,"6'7""",,,,205,,,,,California State Northridge,19,35.9,25.6,10.2,2.8,1.7,2.0,2.9,3.3,19.3,0.480,16.4,0.514,2.9,0.286,9.4,0.663,0.546,25.7,10.2,2.8,1.7,2.0,2.9,3.3,19.4,16.4,2.9,9.4,https://www.sports-reference.com/cbb/players/lamine-diane-1.html
78,"Jessup, Justinian",80,77.38,55,116,58,75,85,64,102,64,22,SG,"6'7""",,,,202,,,,,Boise State,32,36.0,16.0,4.4,2.1,1.4,0.5,1.3,2.2,12.6,0.426,4.9,0.471,7.7,0.397,2.3,0.959,0.588,16.0,4.4,2.1,1.4,0.5,1.3,2.2,12.6,4.9,7.7,2.3,https://www.sports-reference.com/cbb/players/justinian-jessup-1.html
79,"Ford, Jordan",81,78.00,95,92,72,77,85,64,75,64,22,PG,"6'1""",,,,175,,,,,Saint Mary's,34,38.0,21.9,3.0,2.3,1.4,0.0,1.5,1.1,16.1,0.492,10.1,0.541,6.1,0.411,4.1,0.836,0.612,20.7,2.8,2.2,1.3,0.0,1.4,1.0,15.3,9.6,5.8,3.9,https://www.sports-reference.com/cbb/players/jordan-ford-1.html
