Name,Age,MP,dPG%,dSG%,dSF%,dPF%,dC%,VR,MD,DEFL,FREQ,LT_06_%,PM,raDRDB,raDTOV
Marcus SmartMEM | PG,29,605,19.2,28.1,24.2,19.8,8.7,88,69,3.5,25.6,60.9,-2.1,0.37,0.77
Mike MuscalaOKC | C,32,600,8,8.8,10.7,26.7,45.8,18,19,1.3,47.5,61.8,-1.4,1.12,0.01
Jericho SimsNYK | C,25,585,6,5.9,8.5,17.8,61.8,5,21,1.2,45.3,56,-8.6,0.88,-0.25
Brice SensabaughUTA | SF,20,584,17.7,31.1,22.8,21.1,7.4,77,23,1.3,35.2,66.2,3.7,,
Shake MiltonNYK | SG,27,581,23.5,31.5,26.2,13.6,5.2,55,17,1.5,36.1,64.3,2,-0.24,0.13
Jarred VanderbiltLAL | PF,24,581,25.2,26.6,22.7,11.2,14.4,91,37,3.2,35.2,67.6,3.7,-1.57,0.52
Evan FournierDET | SG,31,580,18,28.3,32.5,14.8,6.4,56,25,4.2,37.6,65.8,4.6,-0.85,0.01
Zeke NnajiDEN | PF,23,576,10.5,14.3,12.4,25.2,37.6,44,15,2.2,48.9,46.3,-15.1,1.1,0.14
Andre Jackson Jr.MIL | SF,22,572,30.9,25.2,17,16.1,10.7,82,23,2.3,38.8,65.4,1.9,,
Lamar StevensMEM | SF,26,559,13,14.4,21.2,26.9,24.4,94,23,2.5,41,52,-10,-0.03,-0.14
Richaun HolmesWAS | C,30,555,5.5,9.9,7.6,14.9,62,5,21,1.8,39.6,69.3,5.7,-0.26,-0.34
Omer YurtsevenUTA | C,25,545,5.6,11.1,10.4,16.2,56.8,8,19,1.7,43.1,66.9,4.2,0.36,-0.09
Julian StrawtherDEN | SF,21,545,16,32.8,26.1,18.4,6.6,63,14,2.2,37.2,54.7,-5.5,,
Bones HylandLAC | PG,23,540,23.5,35.8,18.4,13.3,9,57,18,1.7,35.2,73.3,13,-0.74,-0.42
Jalen McDanielsTOR | PF,26,538,13.9,26.5,24.2,19.5,15.9,98,16,2.7,37.5,63.8,0.4,-1.1,0.18
Sasha VezenkovSAC | PF,28,511,9.8,25.7,28.6,24.9,11.1,74,14,2.7,42.1,54.4,-8.3,,
Danuel House Jr.| SF,30,509,24,25.9,20.6,20.1,9.4,92,21,1.3,31.4,64.6,2.9,-1.34,0.15
Mark WilliamsCHA | C,22,508,7.8,5.8,11.5,11.2,63.7,2,38,2.1,46.8,65.1,0.3,-0.53,-0.45
Jaden SpringerBOS | SG,21,507,32.7,30.3,17.4,11.3,8.2,46,22,3.8,37.4,58.9,-1,0.11,-0.24
Patrick Baldwin Jr.WAS | PF,21,493,10.9,21.1,19.6,26.4,22,97,16,2,40.1,59.3,-2.8,-0.05,-0.05
Robert CovingtonPHI | PF,33,488,17,20.1,23.8,23.5,15.7,100,24,6.5,38.4,57.9,-3.9,0.67,0.79
P.J. TuckerLAC | PF,38,486,9.3,10.8,14,44.6,21.4,22,29,2.6,29.6,62.3,-0.4,0.51,0.23
Tari EasonHOU | PF,22,480,9.7,25.8,26.7,30.8,6.9,50,33,4.4,32.2,54.2,-7.1,1.56,0.15
Monte MorrisMIN | PG,28,476,27.2,32.5,20.3,13.2,6.8,58,18,2.3,39.4,58.2,-3.6,-0.84,-0.48
Isaiah LiversWAS | SF,25,469,15.5,19.3,20.3,38.3,6.6,40,26,2.5,36.5,62.9,-1.4,-0.61,-0.09
Bol BolPHX | C,24,469,14,24.5,24.8,25.3,11.3,91,14,1.4,36.2,45.3,-17,0.66,0.09
Anthony GillWAS | PF,31,466,10.1,13.1,15.1,22.6,39.2,40,15,1.2,34.7,68,3.3,-0.1,0.58
Yuta WatanabeMEM | SF,29,464,11.4,33.2,22,25.9,7.3,54,16,1.4,45.1,60.2,-3.3,0.23,0.52
Nassir LittlePHX | SF,23,458,13.8,23.5,17.5,34.8,10.4,67,20,1,39.4,64.9,1.5,0.62,-0.87
Sandro MamukelashviliSAS | PF,24,451,6.5,13.4,24.6,32.2,23.4,60,14,1.8,41.4,65.2,2.5,-0.28,-0.05
Alex LenSAC | C,30,444,6.3,6.4,7,26.3,53.9,9,12,1.9,42.6,51,-8.6,1.62,-0.52
Thomas BryantMIA | C,26,441,5.6,7.8,11,22.4,53.2,11,14,1.3,53.6,65.8,1.9,-0.76,-0.36
Thaddeus YoungPHX | PF,35,439,7.7,7.3,12.8,19.8,52.3,13,22,3.4,39.7,67.9,4.9,0.01,0.89
Chuma OkekeORL | PF,25,432,24.7,15.4,26.1,24.9,8.9,86,19,1.4,25.7,64.4,3.1,-0.35,0.19
Dominick BarlowSAS | PF,20,420,7.6,10,13.8,19.3,49.3,16,14,2.1,49.2,63.1,-0.1,0.18,-0.18
Reggie Bullock Jr.HOU | SF,32,417,12.6,35.3,28.5,15.7,7.9,42,12,1.4,42.3,73,11.3,-0.16,0.08
Patty MillsMIA | PG,35,415,28.1,33,21,12.2,5.7,45,21,2.2,29.2,72.5,12.1,-1.42,-0.04
Trent ForrestATL | PG,25,414,34.9,27.4,14.8,15.8,7.1,47,16,2.4,35.8,59.7,-0.8,1.15,-0.52
Wesley MatthewsATL | SG,37,413,16.3,21.7,35.2,17.6,9.2,67,21,3.7,35.8,51.6,-10.5,0.14,0.13
Svi MykhailiukBOS | SG,26,413,16.1,33.4,18.2,28.1,4.2,44,10,2,25.4,56.7,-5.2,0.17,0.35
Aleksej PokusevskiCHA | PF,22,405,10.8,28.6,22.7,23.6,14.2,88,17,2.3,40.5,66.7,5.3,0.89,-0.67
Derrick RoseMEM | PG,35,399,33,32.1,14.8,12.6,7.5,39,22,1.4,34.7,72.1,10.2,-0.17,0.06
DeAndre JordanDEN | C,35,396,6.1,6.8,9.4,24.1,53.7,10,14,1.1,37.4,63.2,0.4,1.29,-1.37
Eugene OmoruyiWAS | SF,26,393,11.8,14.5,15.1,23,35.7,66,11,3.8,31.1,61.7,-2.1,-1.77,0.6
Matt RyanNOP | SF,26,390,16,34.7,22.9,17.4,9,67,16,1.3,40,62.1,0.3,-0.14,-0.26
Noah ClowneyBKN | PF,19,370,12.8,17.9,14.5,22.6,32.3,84,19,1.8,45.3,51.9,-8.2,,
Ousmane DiengOKC | SF,20,365,11.7,20.4,22.1,33.8,12,72,11,0.8,37.3,58.5,-1.5,-1.04,0.25
Ben SimmonsBKN | SF,27,359,12,13,28.7,22.9,23.4,88,37,3,33.3,77.6,13.1,-0.51,0.94
Brandon Boston Jr.LAC | SG,22,345,22.4,31.2,16.5,23,6.9,72,15,2.8,39.8,75,13.8,-1.15,0.42
Jarace WalkerIND | PF,20,340,10.2,19.7,30.3,24.7,15.1,83,16,2.8,51.3,62.7,2.5,,
JaVale McGeeSAC | C,36,339,6.9,8.8,9.5,19.8,55.1,9,9,1.8,43.4,52.8,-10.8,0.48,-0.43
Olivier-Maxence ProsperDAL | PF,21,336,13.5,18.3,26.1,25.7,16.4,97,12,0.8,42.4,64.2,4.9,,
Jeremiah Robinson-EarlNOP | PF,23,334,11.3,17.8,12.5,19.5,39,45,14,1.6,44.3,68.8,7.1,-0.39,-0.48
Neemias QuetaBOS | C,24,333,8.5,9.2,15.9,28.6,37.9,30,10,1.8,37,54.1,-8.9,0.43,0.01
Julian PhillipsCHI | SF,20,323,11.8,26.5,20.9,34.7,6,42,11,2.3,38,65.2,2,,
Ja MorantMEM | PG,24,318,25,26.2,34.2,7.6,7,36,41,1.6,48.1,65.1,2.8,-0.45,-0.34
Devonte' GrahamSAS | PG,28,313,18.9,39.8,25.5,10.5,5.2,25,15,1.4,36.5,60,-2.5,-0.23,0.36
Orlando RobinsonMIA | C,23,304,6.8,8.8,10.4,25.2,48.7,14,14,1.9,48.6,60.3,-5.4,1.12,0.24
Furkan Korkmaz| SG,26,300,16,26.3,30.6,19.8,7.2,70,10,3.1,45.2,78.8,14.7,-1.16,0.37
Cory Joseph| PG,32,296,23,43.7,16.6,9.2,7.6,22,16,1.2,33.9,69.2,6.8,-0.41,-0.03
Garrett TempleTOR | SF,37,289,24.4,20.8,23.6,14.8,16.5,100,14,3.5,38.1,54.9,-8.8,-0.5,0.13
Kessler EdwardsSAC | SF,23,275,13.9,26.8,24.8,25.4,9.1,83,10,1.7,39.5,68.6,9.3,0.81,-0.35
Damian JonesCLE | C,28,270,6.2,8.4,15.9,25.7,43.8,19,8,1.2,34.5,52.1,-10.7,-0.77,-0.24
Onuralp BitimCHI | SF,24,268,13.1,33,22.1,26.7,5.2,48,14,1.2,21.6,83.3,21.8,,
Kira Lewis Jr.UTA | PG,22,265,32.8,40.6,8.8,9.2,8.7,19,13,2.6,30.2,61.5,-1.6,-0.19,-0.46
Gabe VincentLAL | SG,27,218,35.6,35.9,12.8,9.7,6,21,23,3,19.5,56.3,-3.3,-1.48,0.79
Markieff MorrisDAL | C,34,216,6.5,12.2,14.3,33.3,33.7,32,11,1.8,40.8,72.5,12.7,1.27,-0.3
Theo Maledon| PG,22,213,35.3,27.8,23.4,6.4,7.1,31,21,1.7,38.4,51.5,-10.9,0.1,-0.48
Charles BasseySAS | C,23,205,5.6,6.9,11.3,9.2,66.9,1,11,3.3,43.2,58.5,-6.4,1.07,-0.06
Moses BrownPOR | C,24,200,5.2,8.6,9.2,11.1,65.9,1,11,1.1,32.4,55.3,-7.5,0.68,-1.14
Kenneth Lofton Jr.UTA | C,21,199,10.1,17.1,6.9,17.9,48.1,17,12,2.2,40.2,54.3,-4.3,-0.69,-0.04
Kobe BufkinATL | SG,20,196,45.7,24.9,15,7.6,6.8,18,15,3.5,44.9,57.5,-3.7,,
Colby JonesSAC | SG,21,192,21.1,32.6,18.8,20.3,7.1,71,9,3.4,27.6,75,16.7,,
Terry TaylorCHI | PF,24,188,10.1,9.8,22.6,29.4,28.2,67,10,1.9,29.5,53.8,-7.7,1.04,0.04
Saben LeePHX | PG,24,185,46.3,24.2,12.8,8.5,8.2,18,12,3.1,41.2,67.9,5.8,0.01,0.03
Otto Porter Jr.| PF,30,174,8,23.3,28.3,26.6,13.8,75,11,3.3,36.1,50,-14,0.13,0.72
AJ GriffinATL | SF,20,171,20.4,25.7,26.3,20.2,7.4,85,9,0.8,49.3,78.8,18.3,0.4,-0.2
Joe Harris| SG,32,170,9.2,16.8,38.6,28.3,7.1,26,8,1.3,43.6,70.8,10,0.67,-0.12
Thanasis AntetokounmpoMIL | PF,31,155,13.2,13.9,21,27.7,24.2,93,5,3.7,25,43.8,-13.5,-0.77,0.38
Sidy CissokoSAS | SF,19,141,9.9,24.3,23.6,20.1,22,96,11,2.8,34,77.8,12.5,,
Brandon ClarkeMEM | PF,27,134,12.3,6.9,13.5,36.2,31,30,18,2.1,39.6,57.9,-9,0.47,-0.14
Emoni BatesCLE | SF,20,133,16.4,27.4,34.7,14.5,7,48,9,1.4,37.5,80,17.1,,
Luka GarzaMIN | C,25,122,6.3,5.1,8,17,63.6,2,9,2.1,44.3,66.7,3,-0.54,0.8
Jalen PickettDEN | PG,24,122,23.5,35,19.1,14.2,8.3,60,6,2.1,33.3,73.3,15.5,,
Robert Williams IIIPOR | C,26,119,12.9,10.2,11.2,34.9,30.8,38,20,3.3,37.8,67.9,5,0.2,-0.06
Udoka AzubuikePHX | C,24,113,8.5,7.3,6.5,13.3,64.4,2,11,1.6,35.2,52,-10.9,0.55,-0.28
Jalen Hood-SchifinoLAL | PG,20,109,38.5,24.9,17.1,12.1,7.5,35,4,0.7,40.5,66.7,3.5,,
Dylan WindlerATL | SF,27,108,8.8,18,16.6,50,6.7,15,6,3.7,36.7,66.7,8.1,-0.15,0.01
Maxwell LewisLAL | SG,21,103,10,28.3,26.2,24.9,10.6,73,1,1.7,51.4,72.2,9,,
Josh MinottMIN | PF,21,91,10.7,14.1,21.7,32.1,21.4,81,2,5.9,34.1,92.9,33,0.44,-0.26
Cole SwiderMIA | PF,24,87,9.6,25.8,40.5,15,9.1,26,6,0.8,36.8,50,-9.2,0.3,0.01
Terquavion SmithPHI | SG,21,84,28.6,34.1,15.3,15.3,6.6,45,5,2.5,42.9,83.3,20.7,,
Jordan WalshBOS | SF,19,83,22.6,14.5,23.4,33.2,6.3,60,9,1.7,44.4,75,13.7,,
James Bouknight| SG,23,81,19.9,36.1,30,7.2,6.8,28,6,1.3,34.6,44.4,-26.2,-0.84,0.01
Ryan RollinsMIL | PG,21,78,36.6,28.5,13.6,9.9,11.3,38,7,8.3,46.4,38.5,-18.3,-0.04,-0.11
R.J. Hampton| SG,22,76,52.1,24.5,8.9,6.8,7.6,12,17,1.4,37.9,63.6,0.1,-1.18,-0.11
Wendell Moore Jr.MIN | SG,22,75,24.6,22.5,20.7,22.5,9.6,95,2,5.3,27.3,66.7,8.4,-0.09,-0.09
Mouhamed GueyeATL | C,21,73,14.5,5.9,10.4,39.4,29.7,24,12,2,27.3,77.8,11.7,,
Isaiah MobleyCLE | PF,24,72,5.1,13.8,38.1,22.3,20.7,35,7,3,17.6,83.3,25.9,0.14,0.03
Boban MarjanovicHOU | C,35,71,3.5,11.4,4.1,15.9,65.2,1,4,1,16.7,25,-33.5,2.83,-0.25
Jett HowardORL | SF,20,67,10.3,31,19.9,34.7,4.1,29,3,1.1,33.3,85.7,24.9,,
Keyontae JohnsonOKC | SF,23,66,6,33.8,19.7,29.3,11.1,39,5,0.5,29.4,80,24.6,,
Robin Lopez| C,35,65,5,16.9,4.6,13.9,59.6,6,3,1.7,27.7,61.5,-3.3,0.83,-0.7
Moussa DiabateLAC | C,22,64,10,20.1,13.5,19.3,37.2,56,7,2.8,30.8,50,-11.9,0.63,-0.27
Kendall BrownIND | SF,20,63,18.3,43.9,17.8,13.8,6.3,24,5,2.3,45.5,40,-11.3,0.39,0.19
Keon JohnsonBKN | SG,21,61,36.8,22.1,11.6,22.5,7,41,15,3,38.5,80,14.5,-1.26,0.11
Colin CastletonLAL | C,23,59,9.9,6.5,10,27.4,46.3,16,3,3.1,42.9,66.7,6.6,,
TyTy Washington Jr.MIL | PG,22,56,16,37.1,20.3,13.3,13.2,62,4,1.9,33.3,40,-22.9,1.64,0.06
Dereon SeabronNOP | SF,23,55,28.7,44.1,1,13,13.1,17,7,1.3,24,33.3,-31.5,0.03,-0.13
Leonard MillerMIN | PF,20,52,6.2,13.2,29.3,37.3,14.1,30,1,3.5,66.7,58.3,1.3,,
Frank Ntilikina| PG,25,43,25.6,40.3,15.6,10.4,8.2,27,,1.7,36.4,25,-36.3,0.54,0.39
Oscar TshiebweIND | C,24,42,4.5,17.5,2.4,7.5,68.2,0,,1.7,45,77.8,16.8,,
JD DavisonBOS | PG,21,39,41.6,30.4,5.9,19.9,2.2,17,,2.8,58.8,60,0.6,0.06,0.01
Jordan MillerLAC | SF,24,28,27.3,16.6,17.1,31.2,7.8,,,1.3,58.3,71.4,8.1,,
Dariq WhiteheadBKN | SG,19,24,19,33.1,23.6,14.5,9.8,,,0,54.5,83.3,13.4,,
E.J. LiddellNOP | PF,23,23,12.3,22.6,34.7,13.9,16.4,,,1.6,25,50,-8.4,,
Usman GarubaGSW | PF,21,18,5.9,5.1,11,38.1,39.9,,,10,40,50,-3.6,0.07,0.48
Danny Green| SG,36,18,19.8,24.7,1.9,41.9,11.6,,,8,18.2,100,34.6,0.11,0.08
Ty JeromeCLE | PG,26,15,34.2,36.1,26.8,0,3,,,2.4,57.1,75,10.1,-0.5,0.44
Joshua PrimoLAC | SG,21,10,19.9,62.6,8.6,0,8.9,,,0,60,66.7,10.1,-1.42,-0.52
Filip Petrusev| PF,23,10,28.6,1.1,12.2,49.5,8.7,,,0,33.3,0,-51.8,,
Markquis Nowell| PG,24,4,66.8,10.3,0,9.7,13.3,,,,,,,,
