Name,Age,MP,dPG%,dSG%,dSF%,dPF%,dC%,VR,MD,DEFL,FREQ,LT_06_%,PM,raDRDB,raDTOV
Chris PaulGSW | PG,38,1531,25.4,25.9,22.5,18.2,8,87,46,2.7,37.9,62.6,-0.2,0.07,0.41
Russell WestbrookLAC | PG,35,1529,21.8,25.2,21,21.1,10.9,98,52,2.9,33.2,57.1,-4.5,-1.43,0.12
Nicolas BatumPHI | SF,35,1529,26.6,18.4,21.6,20.2,13.3,98,57,2.7,39.9,59.2,-3.5,-1.15,0.65
Zach CollinsSAS | C,26,1526,6,8.7,9.5,18.2,57.6,7,45,1.7,44,59.3,-4.3,-0.3,-0.26
Josh GreenDAL | SG,23,1505,32.8,29,18.4,12.4,7.5,51,54,2.2,32.6,63.9,1.2,-0.78,1.52
Walker KesslerUTA | C,22,1493,7.2,10.7,10.7,20.4,51.1,13,38,1.2,45.4,51.4,-11.8,0.07,-0.49
Draymond GreenGSW | PF,33,1490,10.3,10.4,11.7,27.9,39.7,27,55,2.8,31.3,60.7,-3.3,0.94,-0.07
Peyton WatsonDEN | SF,21,1488,16.6,19.6,22.5,28.1,13.1,96,44,1.9,42.2,48.3,-13.8,0.14,0.01
Matisse ThybullePOR | SF,26,1487,21.7,32.4,23.1,13.3,9.6,73,53,5.3,41,70.7,7.4,-0.42,1.97
Khris MiddletonMIL | SF,32,1487,11.8,24.8,38.8,15.9,8.7,35,63,2.4,36.5,61.7,-0.8,0.39,-0.94
Bojan BogdanovicNYK | SF,34,1478,10.6,18.6,35.3,25.2,10.4,55,44,1,39.7,75.8,12.2,-1.16,-0.79
Julian ChampagnieSAS | SF,22,1468,12.1,27.6,25.7,26,8.6,74,42,2.2,39.4,57.9,-5,0.03,0.02
Patrick BeverleyMIL | PG,35,1462,32,25.8,19.3,13.5,9.4,70,48,2.3,39.5,59.9,-2.6,-0.43,0.55
Amir CoffeyLAC | SF,26,1460,24.4,31.3,19.8,16.2,8.3,77,46,1.6,31.4,62,0.4,-0.34,-0.66
Isaiah JoeOKC | SG,24,1445,21.2,28,26.2,18.3,6.3,78,35,1.7,35.4,61.1,-2.1,-1.42,1.16
Desmond BaneMEM | SG,25,1443,11.4,33.6,26,19.6,9.5,61,65,1.9,30.7,63.5,-0.2,0.21,0.22
Vince Williams Jr.MEM | SG,23,1436,26.2,26.5,25.3,12.2,9.8,80,63,3,43.2,57.1,-5.1,-0.64,0.18
Isaiah StewartDET | C,22,1423,8.4,9.3,21.9,35.9,24.5,41,58,0.5,34.6,52.3,-12.2,1.27,-0.3
Moritz WagnerORL | C,26,1415,6.5,8.5,10.9,24.6,49.5,13,32,2.4,37.1,63.7,0.3,0.4,0.17
Tyler HerroMIA | SG,24,1407,25,36.5,20.6,12,5.9,39,52,1.3,35.3,61,-1.9,-1.71,0.19
Wendell Carter Jr.ORL | C,24,1406,6.2,8.2,6.3,20,59.3,6,46,1.5,38.3,59.6,-4.6,0.77,-0.3
Onyeka OkongwuATL | C,23,1405,7.3,8.5,10.9,25.8,47.4,16,43,1.8,41.2,59.7,-3.5,0.29,0.09
Amen ThompsonHOU | SG,21,1388,23.4,33.4,17.8,14.3,11.1,74,44,3.6,38.9,57.5,-4.9,,
Haywood HighsmithMIA | SF,27,1366,26.7,21.2,21.8,20.9,9.4,93,48,2.9,32.6,57.1,-5.3,-0.57,-0.06
Dyson DanielsNOP | SG,20,1358,27.4,30.5,14.1,15.2,12.9,81,56,4.5,35.1,63,0.2,0.5,0.29
Marcus SasserDET | PG,23,1351,39.7,29.1,15.7,10.3,5.2,24,33,2.2,32.2,70.3,8.9,,
Andre DrummondCHI | C,30,1351,6,5.8,6.3,27.4,54.5,8,34,3.3,38,61.4,-3.2,0.65,0.8
Kris MurrayPOR | PF,23,1348,12.3,27.7,31.7,19.8,8.4,64,37,2.5,46.8,55.9,-6,,
Miles McBrideNYK | PG,23,1328,48.3,25.2,12.8,8.3,5.5,14,42,3.2,34.1,56.1,-5.6,0.98,-0.04
Jakob PoeltlTOR | C,28,1319,7.3,6.4,8.1,14.9,63.2,3,48,1.7,48.7,57.3,-6.7,0.63,0.13
Joel EmbiidPHI | C,29,1309,8,9.1,12.5,15.5,54.9,10,46,1.6,42.3,53.6,-10.5,-0.12,-0.28
Jeff GreenHOU | PF,37,1307,12,14.3,17.8,31.1,24.9,84,35,1.2,32.9,58.2,-4.5,-0.51,-0.46
Cameron PaynePHI | PG,29,1304,32.3,32.6,20.7,8.6,5.8,32,34,3,36.6,62.3,0.3,-0.07,0.63
Gary HarrisORL | SG,29,1297,26.6,36.7,21.3,9.1,6.2,33,49,2.5,38.1,62.2,0.8,-1.51,0.4
Dereck Lively IIDAL | C,19,1294,8.5,8.3,9.3,20.1,53.8,12,44,1.9,40.1,58.7,-5.2,,
T.J. McConnellIND | PG,31,1291,43.9,28.9,13.5,7.9,5.9,18,41,4,39.9,68.8,7.3,-0.8,1.22
Cedi OsmanSAS | SF,28,1269,10.2,23.4,28.7,28,9.8,68,32,1.9,35.7,60.9,-1.5,-1.47,0.66
Aaron HolidayHOU | PG,27,1269,31.7,35.3,15.3,11,6.7,31,37,2.2,35.8,66.2,4.7,-0.53,0.72
Gradey DickTOR | SG,20,1268,14.1,30.6,29.1,19.4,6.8,61,30,1.7,36.9,71.3,7.9,,
Naji MarshallNOP | SF,26,1257,18.2,28.1,21.9,20.1,11.7,95,37,2.8,34.1,63.3,0.7,0.14,0.25
Kris DunnUTA | PG,29,1249,29.5,30.1,22.2,11.2,7,54,45,4.2,33,59.3,-4.1,-0.21,0.15
Gordon HaywardOKC | SF,33,1245,9.6,19.7,44,18,8.7,23,48,2,32.3,67.5,4.3,0.41,0.29
GG JacksonMEM | PF,19,1233,18.4,22.9,26.9,21.2,10.5,94,46,1.2,44,58.2,-4.7,,
Aaron WigginsOKC | SG,25,1228,23.1,24.4,21.9,20.4,10.2,97,33,3.3,40.2,52.8,-9.8,0.3,-0.3
Larry Nance Jr.NOP | C,31,1216,7.7,10.4,7.7,20,54.2,10,35,3.2,44.1,64.2,-0.3,0.37,1.39
Duop ReathPOR | C,27,1214,8.1,12,12.6,22.1,45.2,20,32,1.9,46,61.7,-1.4,,
Alec BurksNYK | SG,32,1212,20,30.6,27,17,5.5,65,37,1.3,42.6,54.2,-7.3,0.83,0.14
Kevon LooneyGSW | C,27,1194,7.7,9.6,7.9,14.6,60.3,6,43,1.2,33.6,61,-2.9,1.18,-1.09
David RoddyPHX | PF,22,1177,13.1,23.9,26.5,23.2,13.3,93,42,1.7,42.8,58.1,-5,-0.65,-0.2
Vasilije MicicCHA | PG,30,1176,31.6,28.1,22.6,9.8,7.9,52,37,2.1,34.2,68.6,6.4,,
Patrick WilliamsCHI | SF,22,1174,10.8,13.3,32.5,34.1,9.3,35,57,2.3,35.8,65.8,1.2,0.65,-0.6
John KoncharMEM | SF,27,1173,22,28.5,29.5,11.2,8.8,66,36,3.1,43.7,59.5,-2.8,-0.28,0.66
Joe InglesORL | SF,36,1169,7.8,24.9,35.7,25.7,6,31,25,2,34.9,70.1,8.5,1.38,-0.3
Drew EubanksPHX | C,26,1169,9.2,9.5,9,23.2,49.1,15,32,2.5,43.4,56.8,-6.8,0.03,-0.14
Anthony BlackORL | PG,20,1164,34.4,33.4,15.7,10.2,6.3,28,40,2.4,35.1,54.6,-7.5,,
Jordan HawkinsNOP | SG,21,1160,21.2,40.2,17.6,14.3,6.8,34,29,0.7,32.6,60.3,-1.1,,
Trey LylesSAC | PF,28,1158,8.5,13.4,25.5,30.9,21.7,72,31,1.5,43,60.5,-2.7,0.79,-0.31
Moses MoodyGSW | SG,21,1156,22.2,23.2,25.4,18.4,10.9,97,34,2.5,36,54.1,-9,0.79,-0.06
Jae CrowderMIL | PF,33,1156,12.4,24.2,29.2,20.3,13.9,89,46,2.4,30.7,56.7,-5.9,0.58,0.46
Trayce Jackson-DavisGSW | C,23,1130,7.8,9.3,9.5,24.9,48.4,15,29,1.6,49.9,54.7,-8.4,,
Malcolm BrogdonPOR | PG,31,1121,17.6,31.4,22.8,18.7,9.6,83,43,1.4,38.8,67.1,3,0.8,-0.81
Dean WadeCLE | PF,27,1108,10,14.2,30,29.1,16.7,71,43,2.6,41.3,59.3,-4.7,1.16,0.6
Josh RichardsonMIA | SF,30,1103,32.6,26.7,20.2,11.6,8.8,63,48,2,30.2,64.9,2.6,-0.92,0.29
Davion MitchellSAC | PG,25,1101,37.7,34.1,12.5,9.6,6.1,21,37,1.3,30.6,73.8,11.8,-0.45,0.41
Dario SaricGSW | PF,29,1098,7.6,11.8,14.7,25.8,40.1,28,32,2.7,45.6,56.9,-6.5,2.27,-0.02
James WisemanDET | C,22,1091,6.2,5.2,7.2,23,58.4,6,26,0.5,41.9,56.4,-7.3,-0.39,-0.28
Dante ExumDAL | SG,28,1088,30.3,31.8,17.8,12.6,7.6,51,42,1.6,37.5,67.6,5.2,0.59,0.76
Sam MerrillCLE | SG,27,1069,25.2,31.7,25.9,12.1,5.2,49,30,1.3,35.5,53.8,-7.7,0.1,-0.03
Shaedon SharpePOR | SG,20,1059,16.7,38.7,21,15.9,7.6,41,49,1.9,43.6,68.1,5.6,0.99,0.01
Dennis Smith Jr.BKN | PG,26,1059,33.9,30,19.9,8.6,7.6,37,43,4.5,31,60.8,-2.1,-0.59,0.61
Marvin Bagley IIIWAS | PF,24,1053,6.9,7.7,7.1,20.1,58.2,7,35,1.4,38.4,59.3,-4.4,0.28,-0.47
Torrey CraigCHI | PF,33,1049,10.5,14.7,32.7,32.1,10,41,42,2.3,36.1,65.4,0.8,-0.39,-0.57
Jalen SmithIND | PF,23,1047,8.7,7,13.9,24.7,45.7,19,31,0.9,49,57.1,-6.3,0.85,-0.81
Dalano BantonPOR | SG,24,1047,16.1,26.9,30.1,17.6,9.3,79,30,2.4,36.5,56.8,-4.8,0.44,0.19
Ziaire WilliamsMEM | SF,22,1038,19.9,32.9,24.2,14,9,69,40,2.7,39.4,61.3,-1,0.44,-0.51
Jae'Sean TateHOU | PF,28,1031,13.4,22.2,23.2,26.9,14.3,96,32,2.7,33.6,61,-2.5,0.16,0.02
Kenrich WilliamsOKC | SF,29,1029,13.2,14.6,19.3,30.5,22.4,90,33,2.7,36.9,67.1,4.5,0.26,1.07
Jose AlvaradoNOP | PG,25,1028,38.4,30.3,13.2,9.6,8.5,26,32,4.1,32.7,59.7,-3.2,1,1.36
Quentin GrimesDET | SG,23,1025,27,31.1,25.7,9.5,6.8,47,39,2.1,35.7,68.3,6.6,1.22,-0.08
De'Anthony MeltonPHI | SG,25,1023,32.6,32,14.5,10.9,10.1,44,51,4.2,41.2,62.8,0.2,-0.4,0.96
Daniel TheisLAC | C,31,1015,9.7,12.5,9.4,25.4,43,23,28,2.3,44.8,60.4,-2.6,0.31,0.06
Lonnie Walker IVBKN | SG,25,1011,20.5,31.1,27.5,14.1,6.8,65,26,1.9,39.4,58.8,-2.3,-1.15,-0.81
Talen Horton-TuckerUTA | SG,23,1009,21.1,27.1,23.2,15.9,12.7,96,36,3,33.5,63.2,1.4,0.78,0.25
Killian Hayes| PG,22,1008,25.1,32.5,21.3,14.7,6.3,62,38,2.6,45.9,68.1,6.1,-0.77,0.62
Jevon CarterCHI | PG,28,1004,35.5,30.4,19.7,8.6,5.8,29,28,3.2,34,60.3,-2,0.51,-0.13
Luke KennardMEM | SG,27,999,17.8,32.8,28.9,13.5,7.1,52,33,1.2,44.5,68.6,5.6,-0.47,-0.48
Garrison MathewsATL | SG,27,992,14.8,31.4,29.8,18.1,5.9,52,23,1,31.7,64,2.6,-1.12,0.88
